2017-12-03 21:07:35: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:16:46: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:17:25: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:17:29: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:17:42: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:19:28: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:19:28: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:19:28: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:19:28: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:20:53: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:20:53: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:20:53: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:20:53: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:29: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:29: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:29: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:29: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:38: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:38: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:38: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:25:38: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:15: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:15: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:15: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:15: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:33: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:33: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:33: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:27:33: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:29:21: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:29:21: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:29:21: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:29:21: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:30:14: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:30:14: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:30:14: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:30:14: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:32:35: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:32:35: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:32:35: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:32:35: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:36:44: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:36:44: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:36:44: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-03 21:36:44: Get balance for QCM1111 account - Success, the balance is $5000.0
2017-12-05 09:27:12: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:27:12: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:27:12: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:27:12: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:18: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:18: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:18: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:18: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:56: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:56: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:56: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:28:56: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:29:58: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:29:58: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:29:58: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:29:58: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:33:11: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:33:11: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:33:11: Get balance for QCC1112 account - Success, the balance is $5000.0
2017-12-05 09:33:11: Get balance for QCC1112 account - Success, the balance is $5000.0
